Text, Sentiment, Source, Date/Time, User ID, Location, Confidence Score,Sentiment_Score,Sentiment
"i love this product!""""", Positive, Twitter, 2023-06-15 09:23:14, @user123, New York,0.85,0.6696,Positive
"the service was terrible.""""", Negative, Yelp Reviews, 2023-06-15 11:45:32, user456, Los Angeles,0.65,0.0,Neutral
"this movie is amazing!""""", Positive, IMDb, 2023-06-15 14:10:22, moviefan789, London,0.92,0.0,Neutral
"i'm so disappointed with their customer support.""""", Negative, Online Forum, 2023-06-15 17:35:11, forumuser1, Toronto,0.78,-0.5256,Negative
"just had the best meal of my life!""""", Positive, TripAdvisor, 2023-06-16 08:50:59, foodie22, Paris,0.88,0.6696,Positive
"the quality of this product is subpar.""""", Negative, Amazon Reviews, 2023-06-16 10:15:27, shopper123, San Francisco,0.72,0.0,Neutral
"i can't stop listening to this song. it's incredible!""""", Positive, Spotify, 2023-06-16 13:40:18, musiclover456, Berlin,0.91,0.2914,Positive
"their website is so user-friendly. love it!""""", Positive, Website Testimonial, 2023-06-16 16:05:36, testimonialuser1, Sydney,0.87,0.6975,Positive
"i loved the movie! it was fantastic!""""", Positive, IMDb, 2023-07-02 09:12:34, user123, New York,0.92,0.6688,Positive
"the customer service was terrible.""""", Negative, Yelp Reviews, 2023-07-02 10:45:21, user456, Los Angeles,0.65,0.0,Neutral
"this book made me feel inspired. highly recommended!""""", Positive, Goodreads, 2023-07-02 12:34:56, bookworm789, London,0.88,0.5411,Positive
"i'm extremely disappointed with their product quality.""""", Negative, Online Store, 2023-07-02 15:21:43, shopper789, San Francisco,0.72,-0.5256,Negative
"just had the most amazing vacation! i can't wait to go back.""""", Positive, TripAdvisor, 2023-07-02 18:01:23, travelenthusiast1, Sydney,0.93,0.6581,Positive
"the food at this restaurant was awful. never going back again!""""", Negative, Zomato, 2023-07-02 20:45:37, foodlover123, Mumbai,0.55,-0.5093,Negative
"i can't stop listening to this song. it's my new favorite!""""", Positive, Spotify, 2023-07-03 09:17:52, musiclover789, Berlin,0.91,0.2914,Positive
"their website is so confusing and poorly designed.""""", Negative, Website Review, 2023-07-03 11:59:18, user789, Toronto,0.68,-0.3593,Negative
